time,q,Month,Year,Region
1972-11-01,0.0032532824893879,11,1972,AZ_West
1972-12-01,0.002312572540996,12,1972,AZ_West
1973-01-01,0.0023437348766959,1,1973,AZ_West
1973-02-01,0.0037136142528375,2,1973,AZ_West
1973-03-01,0.0035019228946053,3,1973,AZ_West
1973-04-01,0.0026549615865361,4,1973,AZ_West
1973-05-01,0.00370305658278,5,1973,AZ_West
1973-06-01,0.0039778882924602,6,1973,AZ_West
1973-07-01,0.0058073851873436,7,1973,AZ_West
1973-08-01,0.0063877828153118,8,1973,AZ_West
1973-09-01,0.0039085212102156,9,1973,AZ_West
1973-10-01,0.0031199943533508,10,1973,AZ_West
1973-11-01,0.0031502808473523,11,1973,AZ_West
1973-12-01,0.0025260862375863,12,1973,AZ_West
1974-01-01,0.0030258231823685,1,1974,AZ_West
1974-02-01,0.0018989723886771,2,1974,AZ_West
1974-03-01,0.003393197501151,3,1974,AZ_West
1974-04-01,0.0020618922361042,4,1974,AZ_West
1974-05-01,0.0029383334523296,5,1974,AZ_West
1974-06-01,0.0031589735062534,6,1974,AZ_West
1974-07-01,0.0067895255261071,7,1974,AZ_West
1974-08-01,0.0052265062661738,8,1974,AZ_West
1974-09-01,0.0062137295648258,9,1974,AZ_West
1974-10-01,0.0054366488116902,10,1974,AZ_West
1974-11-01,0.0033718771916927,11,1974,AZ_West
1974-12-01,0.002380693717438,12,1974,AZ_West
1975-01-01,0.0021190632926542,1,1975,AZ_West
1975-02-01,0.0025561069010404,2,1975,AZ_West
1975-03-01,0.0029269020392359,3,1975,AZ_West
1975-04-01,0.0027936111049825,4,1975,AZ_West
1975-05-01,0.0029126696116372,5,1975,AZ_West
1975-06-01,0.003331636742798,6,1975,AZ_West
1975-07-01,0.0070771492815515,7,1975,AZ_West
1975-08-01,0.0047479567155761,8,1975,AZ_West
1975-09-01,0.0059829207929087,9,1975,AZ_West
1975-10-01,0.0033522987718743,10,1975,AZ_West
1975-11-01,0.0022573994108762,11,1975,AZ_West
1975-12-01,0.0027389535462139,12,1975,AZ_West
1976-01-01,0.0022478987670218,1,1976,AZ_West
1976-02-01,0.0033594817930875,2,1976,AZ_West
1976-03-01,0.0021165476962105,3,1976,AZ_West
1976-04-01,0.0027337425679302,4,1976,AZ_West
1976-05-01,0.0035389712782686,5,1976,AZ_West
1976-06-01,0.0032261866615097,6,1976,AZ_West
1976-07-01,0.007008762274562,7,1976,AZ_West
1976-08-01,0.0053157113027976,8,1976,AZ_West
1976-09-01,0.0074655361060004,9,1976,AZ_West
1976-10-01,0.0041014994970167,10,1976,AZ_West
1976-11-01,0.0030256000246194,11,1976,AZ_West
1976-12-01,0.0020543090699616,12,1976,AZ_West
1977-01-01,0.0028666032764292,1,1977,AZ_West
1977-02-01,0.0020304192983962,2,1977,AZ_West
1977-03-01,0.001867256006152,3,1977,AZ_West
1977-04-01,0.0023992815686903,4,1977,AZ_West
1977-05-01,0.0035397729672353,5,1977,AZ_West
1977-06-01,0.0039181715586415,6,1977,AZ_West
1977-07-01,0.0064580215419304,7,1977,AZ_West
1977-08-01,0.0081795016916346,8,1977,AZ_West
1977-09-01,0.006073283591522,9,1977,AZ_West
1977-10-01,0.0047361475432835,10,1977,AZ_West
1977-11-01,0.0028140786580267,11,1977,AZ_West
1977-12-01,0.0033143269768356,12,1977,AZ_West
1978-01-01,0.0038702185261008,1,1978,AZ_West
1978-02-01,0.0036581913819139,2,1978,AZ_West
1978-03-01,0.0043856310785327,3,1978,AZ_West
1978-04-01,0.003464788465791,4,1978,AZ_West
1978-05-01,0.0030061797040213,5,1978,AZ_West
1978-06-01,0.0034888748120507,6,1978,AZ_West
1978-07-01,0.0060963793692154,7,1978,AZ_West
1978-08-01,0.0060083768660417,8,1978,AZ_West
1978-09-01,0.0059229515200699,9,1978,AZ_West
1978-10-01,0.004671675240882,10,1978,AZ_West
1978-11-01,0.0040953721028984,11,1978,AZ_West
1978-12-01,0.0027661025402017,12,1978,AZ_West
1979-01-01,0.0027418692875868,1,1979,AZ_West
1979-02-01,0.0027221103828177,2,1979,AZ_West
1979-03-01,0.0035756433018411,3,1979,AZ_West
1979-04-01,0.0027457098394432,4,1979,AZ_West
1979-05-01,0.0041222405757031,5,1979,AZ_West
1979-06-01,0.0034375373369088,6,1979,AZ_West
1979-07-01,0.0056108762511402,7,1979,AZ_West
1979-08-01,0.0064612534817439,8,1979,AZ_West
1979-09-01,0.0051899552654558,9,1979,AZ_West
1979-10-01,0.0037299432439906,10,1979,AZ_West
1979-11-01,0.0025497423580916,11,1979,AZ_West
1979-12-01,0.0024644366358662,12,1979,AZ_West
1980-01-01,0.0041600528724133,1,1980,AZ_West
1980-02-01,0.0037946114215323,2,1980,AZ_West
1980-03-01,0.00309826130699,3,1980,AZ_West
1980-04-01,0.0028462686386587,4,1980,AZ_West
1980-05-01,0.0039816707813285,5,1980,AZ_West
1980-06-01,0.0029134447175492,6,1980,AZ_West
1980-07-01,0.0068244346734177,7,1980,AZ_West
1980-08-01,0.0066628635662418,8,1980,AZ_West
1980-09-01,0.005282158590833,9,1980,AZ_West
1980-10-01,0.0033732693042964,10,1980,AZ_West
1980-11-01,0.0025835154295889,11,1980,AZ_West
1980-12-01,0.0029641714819861,12,1980,AZ_West
1981-01-01,0.0036736732130856,1,1981,AZ_West
1981-02-01,0.0027243580500517,2,1981,AZ_West
1981-03-01,0.0035454925213296,3,1981,AZ_West
1981-04-01,0.0032122179657961,4,1981,AZ_West
1981-05-01,0.0039527379244567,5,1981,AZ_West
1981-06-01,0.0046472083372071,6,1981,AZ_West
1981-07-01,0.0077001987213012,7,1981,AZ_West
1981-08-01,0.0076789511654665,8,1981,AZ_West
1981-09-01,0.0068125338595415,9,1981,AZ_West
1981-10-01,0.0042422952473566,10,1981,AZ_West
1981-11-01,0.0031931607137615,11,1981,AZ_West
1981-12-01,0.0030186436589255,12,1981,AZ_West
1982-01-01,0.0026305821271202,1,1982,AZ_West
1982-02-01,0.0034759827300543,2,1982,AZ_West
1982-03-01,0.0036003823320501,3,1982,AZ_West
1982-04-01,0.0030097656181953,4,1982,AZ_West
1982-05-01,0.0038992192397177,5,1982,AZ_West
1982-06-01,0.0035128520278751,6,1982,AZ_West
1982-07-01,0.0070342449307498,7,1982,AZ_West
1982-08-01,0.0088733627927881,8,1982,AZ_West
1982-09-01,0.0070152121631076,9,1982,AZ_West
1982-10-01,0.0031844792477255,10,1982,AZ_West
1982-11-01,0.0035083175183792,11,1982,AZ_West
1982-12-01,0.0030633654512068,12,1982,AZ_West
1983-01-01,0.0031549552676627,1,1983,AZ_West
