time,tp,Month,Year,Region
1971-09-01,0.0004567482820797,9,1971,AZ_West
1971-10-01,0.000834371114337,10,1971,AZ_West
1971-11-01,0.0002336741988379,11,1971,AZ_West
1971-12-01,0.0015641265614032,12,1971,AZ_West
1972-01-01,8.583440569373893e-06,1,1972,AZ_West
1972-02-01,3.136163760357507e-05,2,1972,AZ_West
1972-03-01,1.7947193917781653e-05,3,1972,AZ_West
1972-04-01,0.0001879444019297,4,1972,AZ_West
1972-05-01,9.579986689620274e-05,5,1972,AZ_West
1972-06-01,0.0005736755509754,6,1972,AZ_West
1972-07-01,0.0001950868649004,7,1972,AZ_West
1972-08-01,0.0005332432108226,8,1972,AZ_West
1972-09-01,0.0006420586948731,9,1972,AZ_West
1972-10-01,0.0034293844943777,10,1972,AZ_West
1972-11-01,0.0009524133634925,11,1972,AZ_West
1972-12-01,0.0006927512810559,12,1972,AZ_West
1973-01-01,0.0006474029703953,1,1973,AZ_West
1973-02-01,0.0015175037398701,2,1973,AZ_West
1973-03-01,0.0021773951827868,3,1973,AZ_West
1973-04-01,0.0004092879248305,4,1973,AZ_West
1973-05-01,0.000307049610493,5,1973,AZ_West
1973-06-01,0.0002062678800098,6,1973,AZ_West
1973-07-01,0.0002213175124748,7,1973,AZ_West
1973-08-01,0.0004031824108416,8,1973,AZ_West
1973-09-01,5.077755357433891e-05,9,1973,AZ_West
1973-10-01,0.0001051826945569,10,1973,AZ_West
1973-11-01,0.0006729556128661,11,1973,AZ_West
1973-12-01,0.0001380598729802,12,1973,AZ_West
1974-01-01,0.001704341831682,1,1974,AZ_West
1974-02-01,0.0001258783234853,2,1974,AZ_West
1974-03-01,0.0006746341523552,3,1974,AZ_West
1974-04-01,0.0001245223132782,4,1974,AZ_West
1974-05-01,5.555480181042476e-05,5,1974,AZ_West
1974-06-01,1.1907573008058618e-05,6,1974,AZ_West
1974-07-01,0.0006862989613875,7,1974,AZ_West
1974-08-01,0.0002894873708796,8,1974,AZ_West
1974-09-01,0.0003835636135483,9,1974,AZ_West
1974-10-01,0.0013816911676935,10,1974,AZ_West
1974-11-01,0.0005132758738213,11,1974,AZ_West
1974-12-01,0.0005706288630803,12,1974,AZ_West
1975-01-01,0.0003512378561555,1,1975,AZ_West
1975-02-01,0.0006197486855063,2,1975,AZ_West
1975-03-01,0.0014866865871835,3,1975,AZ_West
1975-04-01,0.0008828302719434,4,1975,AZ_West
1975-05-01,0.0002571425391744,5,1975,AZ_West
1975-06-01,6.747971510246223e-05,6,1975,AZ_West
1975-07-01,0.000617572479867,7,1975,AZ_West
1975-08-01,0.0002958616592701,8,1975,AZ_West
1975-09-01,0.0006248484630244,9,1975,AZ_West
1975-10-01,0.0001420776167781,10,1975,AZ_West
1975-11-01,0.0004586470431754,11,1975,AZ_West
1975-12-01,0.0004620197284092,12,1975,AZ_West
1976-01-01,4.601937965062914e-05,1,1976,AZ_West
1976-02-01,0.002267907997098,2,1976,AZ_West
1976-03-01,0.0004294824195519,3,1976,AZ_West
1976-04-01,0.0009369059475305,4,1976,AZ_West
1976-05-01,0.0003512361221271,5,1976,AZ_West
1976-06-01,4.68829257927603e-05,6,1976,AZ_West
1976-07-01,0.000685612286142,7,1976,AZ_West
1976-08-01,0.0001623605469478,8,1976,AZ_West
1976-09-01,0.0019052168833746,9,1976,AZ_West
1976-10-01,0.0006894878396112,10,1976,AZ_West
1976-11-01,0.0002180349967176,11,1976,AZ_West
1976-12-01,0.0002720621195095,12,1976,AZ_West
1977-01-01,0.0005936376858914,1,1977,AZ_West
1977-02-01,0.0001774674023499,2,1977,AZ_West
1977-03-01,0.0003591294193942,3,1977,AZ_West
1977-04-01,0.0001650569611064,4,1977,AZ_West
1977-05-01,0.0008247958095241,5,1977,AZ_West
1977-06-01,0.0001290984142201,6,1977,AZ_West
1977-07-01,0.0003832012016132,7,1977,AZ_West
1977-08-01,0.0012707237544012,8,1977,AZ_West
1977-09-01,0.0003522644009671,9,1977,AZ_West
1977-10-01,0.0004554477607813,10,1977,AZ_West
1977-11-01,0.0001761928914774,11,1977,AZ_West
1977-12-01,0.0007182345623908,12,1977,AZ_West
1978-01-01,0.0022485336978087,1,1978,AZ_West
1978-02-01,0.0019304365923929,2,1978,AZ_West
1978-03-01,0.0028723937646464,3,1978,AZ_West
1978-04-01,0.0008200133592028,4,1978,AZ_West
1978-05-01,0.000266358900109,5,1978,AZ_West
1978-06-01,2.2372434389103405e-05,6,1978,AZ_West
1978-07-01,0.0003770141882896,7,1978,AZ_West
1978-08-01,0.0002667611946973,8,1978,AZ_West
1978-09-01,0.0003273706892875,9,1978,AZ_West
1978-10-01,0.0007716721155274,10,1978,AZ_West
1978-11-01,0.0021493784859627,11,1978,AZ_West
1978-12-01,0.0018243244586147,12,1978,AZ_West
1979-01-01,0.0021398725422857,1,1979,AZ_West
1979-02-01,0.0008462925595723,2,1979,AZ_West
1979-03-01,0.0017666992268972,3,1979,AZ_West
1979-04-01,0.000145058411594,4,1979,AZ_West
1979-05-01,0.0005323068354878,5,1979,AZ_West
1979-06-01,0.0001190653259102,6,1979,AZ_West
1979-07-01,0.0009226435639582,7,1979,AZ_West
1979-08-01,0.0012317271897619,8,1979,AZ_West
1979-09-01,7.617239946090075e-05,9,1979,AZ_West
1979-10-01,0.0002197620890019,10,1979,AZ_West
1979-11-01,0.0002725060307794,11,1979,AZ_West
1979-12-01,0.0003131325821127,12,1979,AZ_West
1980-01-01,0.0024811223948696,1,1980,AZ_West
1980-02-01,0.0024117421846431,2,1980,AZ_West
1980-03-01,0.0012121864237465,3,1980,AZ_West
1980-04-01,0.000499785132886,4,1980,AZ_West
1980-05-01,0.000504692433252,5,1980,AZ_West
1980-06-01,5.735298925899861e-05,6,1980,AZ_West
1980-07-01,0.0004483382443501,7,1980,AZ_West
1980-08-01,0.0004963222781755,8,1980,AZ_West
1980-09-01,0.0004369352736058,9,1980,AZ_West
1980-10-01,0.0003025567429142,10,1980,AZ_West
1980-11-01,8.266113372566813e-05,11,1980,AZ_West
1980-12-01,0.0003089813181282,12,1980,AZ_West
